image_path,effect,transition,line
huntingR2I1.jpg,blur_glow,cross_dissolve,Her vitals unstable Blood pressure dropping
huntingR2I2.jpg,shake,none,Agony blazes through me like fire
huntingR2I3.jpg,vignette,cross_dissolve,Dislocated shoulder Head trauma Lacerations everywhere
huntingR2I4.jpg,glitch,none,This isnt a hospital goddammit
huntingR2I5.jpg,glow,cross_dissolve,Can you tell me what hurts
huntingR2I6.jpg,sepia,none,My shoulder My head
huntingR2I7.jpg,shake,cross_dissolve,My back feels shredded
huntingR2I8.jpg,blur_glow,none,He says anesthesia My body betrays me
huntingR2I9.jpg,vignette,cross_dissolve,Time to go to sleep princess
huntingR2I10.jpg,glitch,none,Fight for me Survive until I get there
huntingR2I11.jpg,glow,cross_dissolve,Shell have scars Stitches along her back
huntingR2I12.jpg,sepia,none,That decreases her value
huntingR2I13.jpg,shake,cross_dissolve,She was dragged through glass and metal
huntingR2I14.jpg,blur_glow,none,Lift the car like Im Superman
huntingR2I15.jpg,vignette,cross_dissolve,A nightmare Im their experiment
huntingR2I16.jpg,glitch,none,Cold water burns down my throat
huntingR2I17.jpg,glow,cross_dissolve,They cut off my clothes
huntingR2I18.jpg,sepia,none,Thank Rio for that
huntingR2I19.jpg,shake,cross_dissolve,Shut up or Ill kill you myself
huntingR2I20.jpg,blur_glow,none,This is true terror Not Zades
huntingR2I21.jpg,vignette,cross_dissolve,My name is Dr Garrison
huntingR2I22.jpg,glitch,none,Fuck you Im not playing along
huntingR2I23.jpg,glow,cross_dissolve,Your pussy still works with brain damage
huntingR2I24.jpg,sepia,none,Keep your mouth shut Addie
huntingR2I25.jpg,shake,cross_dissolve,We need you in shape
huntingR2I26.jpg,blur_glow,none,What day is it
huntingR2I27.jpg,vignette,cross_dissolve,You dont get to ask questions
huntingR2I28.jpg,glitch,none,Its Thursday
huntingR2I29.jpg,glow,cross_dissolve,Five days Zade will be raging
huntingR2I30.jpg,sepia,none,Time to go to sleep princess
