image_path,effect,transition,line
PolarislaunchR1I1.jpg,glow,cross_dissolve,Every revolution starts with a spark
PolarislaunchR1I2.jpg,blur_glow,none,And this one begins here
PolarislaunchR1I3.jpg,glow,cross_dissolve,Welcome to a school built for tomorrow
PolarislaunchR1I4.jpg,none,none,At Polaris were not just teaching tech
PolarislaunchR1I5.jpg,glow,none,Were shaping the pioneers of tomorrow
PolarislaunchR1I6.jpg,blur_glow,none,Innovation here isnt a subject
PolarislaunchR1I7.jpg,glow,none,Its a way of life Built for dreamers Designed for doers
PolarislaunchR1I8.jpg,none,none,Your vision deserves a launchpad
PolarislaunchR1I9.jpg,glow,none,And your journey to the future
PolarislaunchR1I10.jpg,glow; zoom_in,none,starts now
